date,Inflation (annual %),Unemployment rate (%)
2022,7.93092925430087,
2021,3.4754032028988,6.2082373429593
2020,1.9056635869553,6.70947432921314
2019,2.21677593359912,5.90642785648767
2018,2.43873655522937,5.9784521398997
2017,2.25427651934813,5.60249296333438
2016,1.60553917414213,
2015,1.44385719270808,
2014,2.35449052820358,5.5943759530639
2013,2.65167342916577,5.62509613330183
2012,3.72532666110646,5.43910080383725
2011,4.82239636013325,5.8940367235248
2010,3.32634463368643,5.48821378614882
2009,2.86044855902674,6.3445198551271
2008,8.94995335353387,
2007,4.81023704342912,5.551746529154
2006,4.26717463390264,5.74951797506515
2005,4.10725070715931,5.77448214763186
2004,3.51799903099596,
2003,3.02504526252236,6.45081926256222
2002,2.90799857032207,
2001,3.83657262052543,6.05166371995702
2000,3.43351563418767,5.50519992614446
1999,3.04194667094533,6.23329818560231
1998,5.09729149331441,
1997,5.55412988949405,
1996,6.5260956937258,5.63967412253316
1995,9.07738095238091,
1994,10.2479355556119,4.92039089431245
1993,7.14458706876256,
1992,7.63610852336974,
1991,8.99693873494331,
1990,8.06346090938833,
1989,6.92390503711238,
1988,7.11340652931347,
1987,5.71011938486679,
