date,GDP growth (annual %)
2022,3.23802126201738
2021,6.35008957640493
2020,-2.87832319647211
2019,2.67596629249958
2018,3.28219699716972
2017,3.45144612317307
2016,2.81373597388477
2015,3.12878689249369
2014,3.13147556608587
2013,2.87283900039763
2012,2.69196085300733
2011,3.33628619365859
2010,4.51743046800995
2009,-1.34237001345186
2008,2.05615280962685
2007,4.37319733988785
2006,4.46059289685221
2005,4.0204874684196
2004,4.4739697006049
2003,3.09366890334553
2002,2.31645034330785
2001,2.03362484924874
2000,4.53291806864662
1999,3.58907348370219
1998,2.84312223323255
1997,3.95336686735597
1996,3.58228590043393
1995,3.09757901481413
1994,3.34233006750591
1993,1.84044793139411
1992,2.0223402524078
1991,1.21070116446037
1990,2.72126980697942
1989,3.72415680094846
1988,4.54892724186647
1987,3.75340885923706
